drone_model, specification, value, comments

$$ Matrice 350 RTK $$, Autonomie d'opération, 55, $$La durée peut varier en fonction des conditions de vol.$$
$$ Matrice 350 RTK $$, Précision de positionnement, 1, $$Grâce à la technologie RTK.$$
$$ Matrice 350 RTK $$, Portée de communication, 15, $$Dans des conditions optimales sans interférence.$$
$$ Matrice 350 RTK $$, Poids, 4.5, $$Avec batteries et hélices.$$
$$ Matrice 350 RTK $$, Résistance au vent, 15, $$Peut fonctionner dans des conditions venteuses.$$
$$ Matrice 350 RTK $$, Plage de température opérationnelle, -20 à 50, $$Résistant à une variété de conditions climatiques.$$
$$ Matrice 350 RTK $$, Vitesse maximum, 23, $$Vitesse en vol horizontal.$$
$$ Matrice 350 RTK $$, Système anticollision, Oui, $$Capteurs multidirectionnels.$$
$$ Matrice 350 RTK $$, Nombre de capteurs, 6, $$Incluant caméra, lidar, et autres.$$
$$ Matrice 350 RTK $$, Zoom optique, 6, $$Pour une meilleure reconnaissance visuelle.$$
$$ Anafi AI $$, Résolution caméra, 48, $$Offre une haute résolution pour la capture d'images.$$
$$ Anafi AI $$, Autonomie d'opération, 32, $$La durée peut varier en fonction des conditions de vol.$$
$$ Anafi AI $$, Connectivité, 4G, $$Permet une connexion sans interruption et des opérations au-delà de la ligne de vue.$$
$$ Anafi AI $$, Poids, 900, $$Facilité de transport et déploiement.$$
$$ Anafi AI $$, Résistance au vent, 14.5, $$Opérations stables même avec vent modéré.$$
$$ Anafi AI $$, Vitesse maximum, 19, $$Vitesse en mode sport.$$
$$ Anafi AI $$, Portée de communication, 8, $$Portée maximale en conditions optimales.$$
$$ Anafi AI $$, Système anticollision, Oui, $$Capteurs à l'avant.$$
$$ Anafi AI $$, Temps de charge, 2, $$Avec un chargeur standard.$$
$$ Anafi AI $$, Système d'exploitation, Parrot OS, $$Système d'exploitation dédié.$$
$$ eBee X $$, Autonomie d'opération, 25, $$Permet de couvrir de grandes étendues en un seul vol.$$
$$ eBee X $$, Précision de positionnement, 3, $$Lorsqu'il est équipé d'une caméra RTK/PPK.$$
$$ eBee X $$, Poids, 1.1, $$Léger et portable pour des déploiements faciles.$$
$$ eBee X $$, Vitesse maximum, 90 km/h, $$Adaptable selon les besoins du vol.$$
$$ eBee X $$, Résistance au vent, 12, $$Opérations fiables dans des conditions venteuses.$$
$$ eBee X $$, Portée de communication, 8, $$Communication stable avec la station au sol.$$
$$ eBee X $$, Logiciel embarqué, eMotion, $$Logiciel dédié pour la planification de vol.$$
$$ eBee X $$, Plage de température opérationnelle, -5 à 40, $$Pour une variété de conditions climatiques.$$
$$ eBee X $$, Charge utile maximum, 0.5, $$Pour diverses caméras et capteurs.$$
$$ eBee X $$, Temps de charge, 1, $$Pour une charge complète.$$
Trinity F90+, Autonomie d'opération, 90, $$Couvre une grande zone en un seul vol.$$
Trinity F90+, Mode décollage-atterrissage, VTOL, $$Décollage et atterrissage verticaux.$$
Trinity F90+, Poids, 4.5, $$Conception légère pour une portabilité optimale.$$
Trinity F90+, Résistance au vent, 12, $$Opérations fiables dans des conditions venteuses.$$
Trinity F90+, Vitesse maximum, 13.9, $$Idéal pour la cartographie et la surveillance.$$
Trinity F90+, Portée de communication, 7.5, $$Communication stable avec la station au sol.$$
Trinity F90+, Système de navigation, RTK, $$Pour une précision de positionnement élevée.$$
Trinity F90+, Temps de charge, 3, $$Avec un chargeur standard.$$
Trinity F90+, Système d'exploitation, QBase 3D, $$Logiciel dédié pour la planification et l'analyse.$$
Lilium Jet, Mode décollage-atterrissage, EVTOL, $$Aéronef électrique pour le transport urbain avec décollage et atterrissage verticaux.$$
Lilium Jet, Vitesse maximum, 100 m/s, $$Vitesse élevée pour des déplacements rapides.$$
Lilium Jet, Nombre de passagers, 5, $$Incluant le pilote, conçu pour le transport urbain.$$
Lilium Jet, Poids, 1000, $$Y compris les batteries et l'équipement.$$
Lilium Jet, Temps de charge, 1, $$Pour une charge complète avec un chargeur rapide.$$
Lilium Jet, Plage de température opérationnelle, -10 à 40, $$Pour diverses conditions climatiques.$$
Lilium Jet, Certification, EASA, $$Autorité de l'aviation civile européenne.$$
Lilium Jet, Altitude maximum, 3000, $$Altitude de croisière.$$
Bell APT, Mode décollage-atterrissage, VTOL, $$Drone de livraison avec décollage et atterrissage verticaux.$$
Bell APT, Charge utile maximum, 31.8, $$Capacité de livraison significative.$$
Bell APT, Vitesse maximum, 24.1, $$Livraison rapide pour les besoins logistiques.$$
Bell APT, Temps de charge, 1, $$Charge rapide pour des opérations continues.$$
Bell APT, Système d'exploitation, Propriétaire, $$Conçu pour une utilisation optimisée.$$
Bell APT, Système de navigation, GNSS avec RTK, $$Précision de positionnement élevée.$$
Bell APT, Résistance au vent, 10, $$Opérations stables dans des conditions venteuses.$$
Husky, Poids, 50, $$Avec équipement standard.$$
Husky, Vitesse maximum, 1, $$Optimisé pour une navigation précise.$$
Husky, Autonomie d'opération, 3, $$Fonctionnement continu sur une seule charge.$$
Husky, Système de navigation, GPS et IMU, $$Navigation précise en extérieur.$$
Husky, Charge utile maximum, 75, $$Transport d'équipements supplémentaires.$$
